review,rating,date,bank,source
Amazing,5,2024-02-09,Bank of Abyssinia,Google Play
Amazing,4,2025-02-26,CBE Mobile Banking,Google Play
Amazing,5,2024-09-19,Bank of Abyssinia,Google Play
Amazing,5,2024-05-05,CBE Mobile Banking,Google Play
Amazing,5,2024-05-22,CBE Mobile Banking,Google Play
Amazing,5,2025-01-20,Dashen Bank,Google Play
Amazing,5,2024-06-25,CBE Mobile Banking,Google Play
Amazing app,5,2025-03-31,CBE Mobile Banking,Google Play
Amazing app,5,2024-07-21,CBE Mobile Banking,Google Play
Ayseram,1,2024-04-21,Bank of Abyssinia,Google Play
Ayseram,1,2024-05-28,Bank of Abyssinia,Google Play
BOA,5,2024-05-18,Bank of Abyssinia,Google Play
BOA,5,2024-10-11,Bank of Abyssinia,Google Play
Bad,1,2024-09-04,CBE Mobile Banking,Google Play
Bad,1,2025-01-31,CBE Mobile Banking,Google Play
Bad,1,2024-02-04,Bank of Abyssinia,Google Play
Bad,1,2024-10-10,Bank of Abyssinia,Google Play
Best,4,2024-04-30,Bank of Abyssinia,Google Play
Best,5,2024-02-29,CBE Mobile Banking,Google Play
Best,5,2024-05-20,Bank of Abyssinia,Google Play
Best,5,2025-05-26,CBE Mobile Banking,Google Play
Best,5,2024-04-29,CBE Mobile Banking,Google Play
Best,5,2024-10-19,CBE Mobile Banking,Google Play
Best,5,2024-10-26,CBE Mobile Banking,Google Play
Best,5,2024-03-17,CBE Mobile Banking,Google Play
Best,5,2024-02-24,CBE Mobile Banking,Google Play
Best,5,2024-07-01,Bank of Abyssinia,Google Play
Best,5,2024-12-21,CBE Mobile Banking,Google Play
Best,5,2024-03-05,CBE Mobile Banking,Google Play
Best,5,2024-02-17,CBE Mobile Banking,Google Play
Best,5,2024-03-17,CBE Mobile Banking,Google Play
Best,5,2024-05-18,Bank of Abyssinia,Google Play
Best,5,2024-09-21,CBE Mobile Banking,Google Play
Best,5,2024-04-20,CBE Mobile Banking,Google Play
Best,5,2024-01-16,Bank of Abyssinia,Google Play
Best,5,2024-09-23,CBE Mobile Banking,Google Play
Best,5,2024-12-10,CBE Mobile Banking,Google Play
Best,2,2025-04-19,Bank of Abyssinia,Google Play
Best,5,2025-04-10,Bank of Abyssinia,Google Play
Best,5,2024-11-25,Bank of Abyssinia,Google Play
Best,5,2025-01-14,Bank of Abyssinia,Google Play
Best,5,2025-01-01,Bank of Abyssinia,Google Play
Best,5,2024-04-24,Bank of Abyssinia,Google Play
Best,5,2024-02-26,CBE Mobile Banking,Google Play
Best,5,2024-03-27,CBE Mobile Banking,Google Play
Best,1,2024-08-16,CBE Mobile Banking,Google Play
Best,5,2024-04-24,Bank of Abyssinia,Google Play
Best,5,2025-01-13,Dashen Bank,Google Play
Best,5,2025-01-14,Dashen Bank,Google Play
Best,5,2025-01-29,Dashen Bank,Google Play
Best,1,2024-09-27,CBE Mobile Banking,Google Play
Best,5,2025-01-05,CBE Mobile Banking,Google Play
Best,5,2025-01-16,CBE Mobile Banking,Google Play
Best,5,2025-01-18,CBE Mobile Banking,Google Play
Best,5,2024-09-18,CBE Mobile Banking,Google Play
Best,5,2025-03-20,Dashen Bank,Google Play
Best,4,2025-01-01,CBE Mobile Banking,Google Play
Best,5,2024-09-20,CBE Mobile Banking,Google Play
Best,5,2025-01-27,CBE Mobile Banking,Google Play
Best,5,2024-02-24,CBE Mobile Banking,Google Play
Best,5,2024-07-02,CBE Mobile Banking,Google Play
Best,5,2024-05-04,CBE Mobile Banking,Google Play
Best,5,2025-02-07,CBE Mobile Banking,Google Play
Best,5,2024-05-05,Bank of Abyssinia,Google Play
Best,1,2025-01-05,CBE Mobile Banking,Google Play
Best,5,2024-09-07,CBE Mobile Banking,Google Play
Best App,5,2025-05-02,Dashen Bank,Google Play
Best App,5,2025-03-03,CBE Mobile Banking,Google Play
Best App,5,2024-06-06,CBE Mobile Banking,Google Play
Best app,5,2024-04-26,Bank of Abyssinia,Google Play
Best app,3,2024-02-13,CBE Mobile Banking,Google Play
Best app,5,2025-03-06,CBE Mobile Banking,Google Play
Best app,5,2025-01-01,CBE Mobile Banking,Google Play
Best app,5,2024-08-18,Bank of Abyssinia,Google Play
Best app,4,2024-08-09,CBE Mobile Banking,Google Play
Best app,5,2024-08-11,Bank of Abyssinia,Google Play
Best app,5,2024-02-14,CBE Mobile Banking,Google Play
Best app,5,2024-10-17,CBE Mobile Banking,Google Play
Best app,5,2024-04-20,CBE Mobile Banking,Google Play
Best app,5,2025-03-17,Bank of Abyssinia,Google Play
Best app,5,2024-02-11,CBE Mobile Banking,Google Play
Best app,5,2024-04-05,CBE Mobile Banking,Google Play
Best app,5,2025-05-09,Bank of Abyssinia,Google Play
Best app,5,2024-07-12,CBE Mobile Banking,Google Play
Best app,5,2025-03-28,CBE Mobile Banking,Google Play
Best app,5,2025-01-03,CBE Mobile Banking,Google Play
Best app,5,2024-05-01,CBE Mobile Banking,Google Play
Best app,5,2024-02-22,CBE Mobile Banking,Google Play
Best app,5,2024-12-20,CBE Mobile Banking,Google Play
Best app,5,2024-09-19,CBE Mobile Banking,Google Play
Best app,5,2024-04-21,CBE Mobile Banking,Google Play
Best app,5,2024-02-16,Bank of Abyssinia,Google Play
Best app,5,2025-01-15,Dashen Bank,Google Play
Best app,5,2025-02-04,Dashen Bank,Google Play
Best app,5,2024-02-16,Bank of Abyssinia,Google Play
Best app ever,5,2022-11-06,CBE Mobile Banking,Google Play
Best app ever,5,2022-11-03,CBE Mobile Banking,Google Play
Best app ever,5,2023-12-13,CBE Mobile Banking,Google Play
Best application,5,2025-01-29,CBE Mobile Banking,Google Play
Best application,5,2024-07-04,CBE Mobile Banking,Google Play
Best application,5,2025-01-26,CBE Mobile Banking,Google Play
