review_id,review,identified_themes_str,bank,rating,date,source,sentiment_label,sentiment_score
0,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.","Account Access Issues, User Interface & Experience",CBE Mobile Banking,2,2025-05-25,Google Play,NEGATIVE,0.9997394680976868
1,"this new update(Mar 19,2025) is great in fixing bugs, stability and smooth experience I'll give u that but it came with a big shortcoming which is not allowing to take screenshot. I can't screenshot neither my balance nor the transaction or anything within the app, i understand it's for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.",Transaction Performance,CBE Mobile Banking,4,2025-03-20,Google Play,NEGATIVE,0.9968382120132446
2,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",General Feedback,CBE Mobile Banking,5,2025-04-04,Google Play,POSITIVE,0.9998189806938172
3,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,"Feature Requests, Transaction Performance, Account Access Issues",CBE Mobile Banking,5,2025-05-31,Google Play,NEGATIVE,0.9983141422271729
4,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",General Feedback,CBE Mobile Banking,1,2025-06-04,Google Play,NEGATIVE,0.9905162453651428
5,as if the update of march 19 i can't take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,User Interface & Experience,CBE Mobile Banking,2,2025-03-19,Google Play,NEGATIVE,0.9995331764221193
6,"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.","Transaction Performance, User Interface & Experience",CBE Mobile Banking,1,2025-03-21,Google Play,NEGATIVE,0.9987834095954896
7,Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,Transaction Performance,CBE Mobile Banking,1,2025-03-20,Google Play,NEGATIVE,0.9997187256813048
8,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again","Transaction Performance, Account Access Issues, User Interface & Experience",CBE Mobile Banking,2,2025-05-31,Google Play,NEGATIVE,0.9991102814674376
9,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""","Transaction Performance, Account Access Issues, User Interface & Experience",CBE Mobile Banking,4,2025-05-27,Google Play,NEGATIVE,0.9996353387832642
