bank,rating,mean_sentiment_score,positive_count,negative_count,neutral_count,unknown_count,total_reviews,positive_proportion,negative_proportion,neutral_proportion,unknown_proportion
Bank of Abyssinia,1,0.9842433060547312,28,339,0,0,367,0.07629427792915532,0.9237057220708447,0.0,0.0
Bank of Abyssinia,2,0.9638220580612741,3,38,0,0,41,0.07317073170731707,0.926829268292683,0.0,0.0
Bank of Abyssinia,3,0.9820438179563968,10,37,0,0,47,0.2127659574468085,0.7872340425531915,0.0,0.0
Bank of Abyssinia,4,0.9835183599165508,14,14,0,0,28,0.5,0.5,0.0,0.0
Bank of Abyssinia,5,0.973648095349653,162,56,0,0,218,0.7431192660550459,0.25688073394495414,0.0,0.0
CBE Mobile Banking,1,0.9896146102308948,82,772,0,0,854,0.09601873536299765,0.9039812646370023,0.0,0.0
CBE Mobile Banking,2,0.9811303760694421,34,196,0,0,230,0.14782608695652175,0.8521739130434782,0.0,0.0
CBE Mobile Banking,3,0.978329713344574,84,241,0,0,325,0.25846153846153846,0.7415384615384616,0.0,0.0
CBE Mobile Banking,4,0.9656044323987598,275,199,0,0,474,0.580168776371308,0.41983122362869196,0.0,0.0
CBE Mobile Banking,5,0.9807619698314516,1794,359,0,0,2153,0.8332559219693451,0.1667440780306549,0.0,0.0
Dashen Bank,1,0.9987027883529663,1,29,0,0,30,0.03333333333333333,0.9666666666666667,0.0,0.0
Dashen Bank,2,0.98576500415802,2,13,0,0,15,0.13333333333333333,0.8666666666666667,0.0,0.0
Dashen Bank,3,0.9974367943677035,5,6,0,0,11,0.45454545454545453,0.5454545454545454,0.0,0.0
Dashen Bank,4,0.994239880488469,6,7,0,0,13,0.46153846153846156,0.5384615384615384,0.0,0.0
Dashen Bank,5,0.9902001016595391,244,23,0,0,267,0.9138576779026217,0.08614232209737828,0.0,0.0
