date,bank,rating
2018-10-19,CBE Mobile Banking,5.0
2018-11-07,CBE Mobile Banking,3.0
2018-12-03,CBE Mobile Banking,3.0
2018-12-13,CBE Mobile Banking,5.0
2018-12-29,CBE Mobile Banking,4.0
2019-01-10,CBE Mobile Banking,3.0
2019-03-04,CBE Mobile Banking,2.1666666666666665
2019-03-05,CBE Mobile Banking,1.5
2019-03-06,CBE Mobile Banking,1.6666666666666667
2019-03-07,CBE Mobile Banking,1.0
2019-03-08,CBE Mobile Banking,1.0
2019-03-09,CBE Mobile Banking,1.0
2019-03-10,CBE Mobile Banking,3.0
2019-03-11,CBE Mobile Banking,1.0
2019-03-12,CBE Mobile Banking,1.0
2019-03-13,CBE Mobile Banking,1.3333333333333333
2019-03-14,CBE Mobile Banking,1.4
2019-03-15,CBE Mobile Banking,1.0
2019-03-17,CBE Mobile Banking,3.3333333333333335
2019-03-18,CBE Mobile Banking,3.0
2019-03-19,CBE Mobile Banking,1.5
2019-03-20,CBE Mobile Banking,5.0
2019-03-21,CBE Mobile Banking,3.0
2019-03-22,CBE Mobile Banking,2.0
2019-03-24,CBE Mobile Banking,1.0
2019-03-25,CBE Mobile Banking,1.0
2019-03-26,CBE Mobile Banking,1.3333333333333333
2019-03-28,CBE Mobile Banking,2.0
2019-03-29,CBE Mobile Banking,1.0
2019-03-30,CBE Mobile Banking,1.0
2019-03-31,CBE Mobile Banking,1.0
2019-04-01,CBE Mobile Banking,1.0
2020-06-25,CBE Mobile Banking,5.0
2020-06-26,CBE Mobile Banking,4.125
2020-06-27,CBE Mobile Banking,3.5714285714285716
2020-06-28,CBE Mobile Banking,4.75
2020-06-29,CBE Mobile Banking,4.2
2020-06-30,CBE Mobile Banking,3.0
2020-07-08,CBE Mobile Banking,5.0
2020-07-12,CBE Mobile Banking,3.0
2020-07-15,CBE Mobile Banking,4.0
2020-07-16,CBE Mobile Banking,3.6666666666666665
2020-07-17,CBE Mobile Banking,2.5
2020-07-20,CBE Mobile Banking,2.0
2020-07-22,CBE Mobile Banking,4.5
2020-07-23,CBE Mobile Banking,3.4
2020-07-24,CBE Mobile Banking,2.6
2020-07-25,CBE Mobile Banking,4.75
2020-07-26,CBE Mobile Banking,4.0
2020-07-27,CBE Mobile Banking,2.0
2020-07-28,CBE Mobile Banking,1.6666666666666667
2020-07-29,CBE Mobile Banking,1.0
2020-07-30,CBE Mobile Banking,5.0
2020-07-31,CBE Mobile Banking,3.8333333333333335
2020-08-01,CBE Mobile Banking,3.0
2020-08-02,CBE Mobile Banking,3.0
2020-08-03,CBE Mobile Banking,5.0
2020-08-04,CBE Mobile Banking,4.5
2020-08-05,CBE Mobile Banking,5.0
2020-08-06,CBE Mobile Banking,4.2727272727272725
2020-08-07,CBE Mobile Banking,4.071428571428571
2020-08-08,CBE Mobile Banking,5.0
2020-08-09,CBE Mobile Banking,2.0
2020-08-10,CBE Mobile Banking,4.666666666666667
2020-08-11,CBE Mobile Banking,4.5
2020-08-12,CBE Mobile Banking,4.0
2020-08-13,CBE Mobile Banking,5.0
2020-08-14,CBE Mobile Banking,5.0
2020-08-15,CBE Mobile Banking,5.0
2020-08-16,CBE Mobile Banking,3.25
2020-08-17,CBE Mobile Banking,4.0
2020-08-18,CBE Mobile Banking,3.6
2020-08-19,CBE Mobile Banking,3.6
2020-08-20,CBE Mobile Banking,2.0
2020-08-21,CBE Mobile Banking,3.0
2020-08-22,CBE Mobile Banking,5.0
2020-08-23,CBE Mobile Banking,1.0
2020-08-24,CBE Mobile Banking,4.333333333333333
2020-08-25,CBE Mobile Banking,2.5
2020-08-26,CBE Mobile Banking,4.666666666666667
2020-08-27,CBE Mobile Banking,2.0
2020-08-28,CBE Mobile Banking,4.0
2020-08-29,CBE Mobile Banking,2.3333333333333335
2020-08-30,CBE Mobile Banking,4.0
2020-08-31,CBE Mobile Banking,1.0
2020-09-01,CBE Mobile Banking,5.0
2020-09-02,CBE Mobile Banking,3.0
2020-09-03,CBE Mobile Banking,2.6666666666666665
2020-09-04,CBE Mobile Banking,2.5
2020-09-05,CBE Mobile Banking,3.0
2020-09-06,CBE Mobile Banking,1.0
2020-09-07,CBE Mobile Banking,4.5
2020-09-09,CBE Mobile Banking,3.6666666666666665
2020-09-10,CBE Mobile Banking,2.75
2020-09-11,CBE Mobile Banking,3.5
2020-09-12,CBE Mobile Banking,4.2
2020-09-13,CBE Mobile Banking,5.0
2020-09-14,CBE Mobile Banking,3.2
2020-09-15,CBE Mobile Banking,2.0
2020-09-16,CBE Mobile Banking,3.6666666666666665
2020-09-17,CBE Mobile Banking,3.6666666666666665
2020-09-18,CBE Mobile Banking,4.0
2020-09-21,CBE Mobile Banking,4.5
2020-09-22,CBE Mobile Banking,4.0
2020-09-23,CBE Mobile Banking,4.0
2020-09-25,CBE Mobile Banking,5.0
2020-09-26,CBE Mobile Banking,1.0
2020-09-28,CBE Mobile Banking,1.0
2020-09-29,CBE Mobile Banking,3.6666666666666665
2020-09-30,CBE Mobile Banking,3.6666666666666665
2020-10-01,CBE Mobile Banking,5.0
2020-10-03,CBE Mobile Banking,3.0
2020-10-04,CBE Mobile Banking,1.0
2020-10-05,CBE Mobile Banking,5.0
2020-10-07,CBE Mobile Banking,5.0
2020-10-08,CBE Mobile Banking,5.0
2020-10-09,CBE Mobile Banking,5.0
2020-10-10,CBE Mobile Banking,3.0
2020-10-12,CBE Mobile Banking,5.0
2020-10-13,CBE Mobile Banking,5.0
2020-10-14,CBE Mobile Banking,4.0
2020-10-15,CBE Mobile Banking,3.0
2020-10-18,CBE Mobile Banking,2.5
2020-10-19,CBE Mobile Banking,3.0
2020-10-20,CBE Mobile Banking,2.3333333333333335
2020-10-21,CBE Mobile Banking,5.0
2020-10-23,CBE Mobile Banking,1.0
2020-10-25,CBE Mobile Banking,5.0
2020-10-27,CBE Mobile Banking,1.0
2020-10-28,CBE Mobile Banking,4.5
2020-10-29,CBE Mobile Banking,5.0
2020-10-31,CBE Mobile Banking,5.0
2020-11-01,CBE Mobile Banking,4.0
2020-11-02,CBE Mobile Banking,3.5
2020-11-03,CBE Mobile Banking,5.0
2020-11-05,CBE Mobile Banking,2.0
2020-11-07,CBE Mobile Banking,1.3333333333333333
2020-11-08,CBE Mobile Banking,4.0
2020-11-09,CBE Mobile Banking,3.0
2020-11-10,CBE Mobile Banking,3.5
2020-11-11,CBE Mobile Banking,3.0
2020-11-12,CBE Mobile Banking,5.0
2020-11-14,CBE Mobile Banking,3.0
2020-11-15,CBE Mobile Banking,1.0
2020-11-16,CBE Mobile Banking,2.0
2020-11-19,CBE Mobile Banking,2.0
2020-11-20,CBE Mobile Banking,3.5
2020-11-21,CBE Mobile Banking,1.0
2020-11-25,CBE Mobile Banking,5.0
2020-11-28,CBE Mobile Banking,2.0
2020-11-29,CBE Mobile Banking,3.0
2020-11-30,CBE Mobile Banking,2.0
2020-12-01,CBE Mobile Banking,2.5
2020-12-02,CBE Mobile Banking,3.6666666666666665
2020-12-03,CBE Mobile Banking,5.0
2020-12-04,CBE Mobile Banking,3.0
2020-12-05,CBE Mobile Banking,5.0
2020-12-06,CBE Mobile Banking,5.0
2020-12-07,CBE Mobile Banking,1.0
2020-12-08,CBE Mobile Banking,5.0
2020-12-11,CBE Mobile Banking,2.5
2020-12-12,CBE Mobile Banking,5.0
2020-12-13,CBE Mobile Banking,2.5
2020-12-14,CBE Mobile Banking,1.0
2020-12-15,CBE Mobile Banking,5.0
