bank,review_length,rating
CBE Mobile Banking,490,2
CBE Mobile Banking,382,4
CBE Mobile Banking,341,5
CBE Mobile Banking,446,5
CBE Mobile Banking,319,1
CBE Mobile Banking,415,2
CBE Mobile Banking,281,1
CBE Mobile Banking,413,1
CBE Mobile Banking,370,2
CBE Mobile Banking,196,4
CBE Mobile Banking,390,1
CBE Mobile Banking,158,1
CBE Mobile Banking,179,1
CBE Mobile Banking,207,3
CBE Mobile Banking,256,3
CBE Mobile Banking,364,1
CBE Mobile Banking,207,4
CBE Mobile Banking,350,4
CBE Mobile Banking,339,5
CBE Mobile Banking,234,1
CBE Mobile Banking,280,3
CBE Mobile Banking,391,2
CBE Mobile Banking,237,1
CBE Mobile Banking,147,3
CBE Mobile Banking,281,3
CBE Mobile Banking,274,3
CBE Mobile Banking,490,2
CBE Mobile Banking,320,1
CBE Mobile Banking,315,5
CBE Mobile Banking,438,2
CBE Mobile Banking,152,5
CBE Mobile Banking,196,1
CBE Mobile Banking,222,1
CBE Mobile Banking,140,2
CBE Mobile Banking,195,2
CBE Mobile Banking,147,1
CBE Mobile Banking,380,2
CBE Mobile Banking,112,4
CBE Mobile Banking,318,1
CBE Mobile Banking,496,5
CBE Mobile Banking,164,1
CBE Mobile Banking,87,5
CBE Mobile Banking,212,4
CBE Mobile Banking,404,2
CBE Mobile Banking,399,2
CBE Mobile Banking,432,3
CBE Mobile Banking,346,2
CBE Mobile Banking,362,3
CBE Mobile Banking,362,4
CBE Mobile Banking,406,3
CBE Mobile Banking,381,1
CBE Mobile Banking,499,1
CBE Mobile Banking,182,4
CBE Mobile Banking,563,2
CBE Mobile Banking,368,3
CBE Mobile Banking,437,4
CBE Mobile Banking,426,4
CBE Mobile Banking,67,5
CBE Mobile Banking,402,2
CBE Mobile Banking,81,2
CBE Mobile Banking,338,3
CBE Mobile Banking,479,1
CBE Mobile Banking,108,4
CBE Mobile Banking,204,1
CBE Mobile Banking,145,3
CBE Mobile Banking,374,3
CBE Mobile Banking,106,5
CBE Mobile Banking,121,3
CBE Mobile Banking,85,5
CBE Mobile Banking,67,4
CBE Mobile Banking,70,4
CBE Mobile Banking,94,5
CBE Mobile Banking,125,4
CBE Mobile Banking,322,4
CBE Mobile Banking,435,5
CBE Mobile Banking,328,2
CBE Mobile Banking,475,1
CBE Mobile Banking,90,2
CBE Mobile Banking,122,1
CBE Mobile Banking,113,5
CBE Mobile Banking,118,4
CBE Mobile Banking,78,3
CBE Mobile Banking,490,1
CBE Mobile Banking,484,1
CBE Mobile Banking,63,1
CBE Mobile Banking,94,1
CBE Mobile Banking,64,5
CBE Mobile Banking,78,3
CBE Mobile Banking,75,3
CBE Mobile Banking,94,4
CBE Mobile Banking,381,3
CBE Mobile Banking,182,1
CBE Mobile Banking,181,1
CBE Mobile Banking,181,1
CBE Mobile Banking,228,1
CBE Mobile Banking,247,2
CBE Mobile Banking,172,4
CBE Mobile Banking,191,1
CBE Mobile Banking,273,1
CBE Mobile Banking,136,1
CBE Mobile Banking,229,4
CBE Mobile Banking,129,1
CBE Mobile Banking,172,1
CBE Mobile Banking,99,3
CBE Mobile Banking,114,2
CBE Mobile Banking,316,5
CBE Mobile Banking,290,2
CBE Mobile Banking,384,1
CBE Mobile Banking,62,1
CBE Mobile Banking,61,5
CBE Mobile Banking,257,5
CBE Mobile Banking,63,1
CBE Mobile Banking,91,1
CBE Mobile Banking,351,1
CBE Mobile Banking,377,4
CBE Mobile Banking,78,4
CBE Mobile Banking,306,4
CBE Mobile Banking,63,5
CBE Mobile Banking,103,3
CBE Mobile Banking,423,3
CBE Mobile Banking,499,4
CBE Mobile Banking,177,4
CBE Mobile Banking,331,3
CBE Mobile Banking,142,4
CBE Mobile Banking,412,1
CBE Mobile Banking,397,1
CBE Mobile Banking,44,5
CBE Mobile Banking,347,2
CBE Mobile Banking,112,1
CBE Mobile Banking,64,5
CBE Mobile Banking,398,3
CBE Mobile Banking,241,1
CBE Mobile Banking,64,5
CBE Mobile Banking,82,4
CBE Mobile Banking,256,4
CBE Mobile Banking,285,5
CBE Mobile Banking,322,1
CBE Mobile Banking,67,5
CBE Mobile Banking,301,5
CBE Mobile Banking,155,1
CBE Mobile Banking,193,4
CBE Mobile Banking,177,5
CBE Mobile Banking,43,4
CBE Mobile Banking,69,3
CBE Mobile Banking,107,3
CBE Mobile Banking,154,4
CBE Mobile Banking,221,5
CBE Mobile Banking,98,4
CBE Mobile Banking,73,1
CBE Mobile Banking,168,5
CBE Mobile Banking,93,3
CBE Mobile Banking,164,1
CBE Mobile Banking,275,1
CBE Mobile Banking,130,1
CBE Mobile Banking,370,4
CBE Mobile Banking,380,1
CBE Mobile Banking,273,4
CBE Mobile Banking,198,2
CBE Mobile Banking,402,4
CBE Mobile Banking,438,4
CBE Mobile Banking,342,4
CBE Mobile Banking,497,3
CBE Mobile Banking,500,2
CBE Mobile Banking,495,1
CBE Mobile Banking,331,5
CBE Mobile Banking,221,5
CBE Mobile Banking,282,1
CBE Mobile Banking,267,3
CBE Mobile Banking,289,4
CBE Mobile Banking,233,4
CBE Mobile Banking,228,4
CBE Mobile Banking,224,5
CBE Mobile Banking,267,1
CBE Mobile Banking,385,3
CBE Mobile Banking,455,2
CBE Mobile Banking,355,3
CBE Mobile Banking,338,1
CBE Mobile Banking,252,3
CBE Mobile Banking,277,5
CBE Mobile Banking,213,5
CBE Mobile Banking,355,4
CBE Mobile Banking,298,4
CBE Mobile Banking,202,4
CBE Mobile Banking,324,2
CBE Mobile Banking,484,2
CBE Mobile Banking,253,1
CBE Mobile Banking,223,5
CBE Mobile Banking,305,4
CBE Mobile Banking,325,1
CBE Mobile Banking,354,4
CBE Mobile Banking,267,1
CBE Mobile Banking,285,1
CBE Mobile Banking,196,5
CBE Mobile Banking,274,5
CBE Mobile Banking,476,3
CBE Mobile Banking,308,2
CBE Mobile Banking,489,5
CBE Mobile Banking,252,5
CBE Mobile Banking,210,3
CBE Mobile Banking,362,3
CBE Mobile Banking,462,2
CBE Mobile Banking,287,3
CBE Mobile Banking,280,4
CBE Mobile Banking,410,1
CBE Mobile Banking,349,1
CBE Mobile Banking,498,3
CBE Mobile Banking,303,1
CBE Mobile Banking,85,3
CBE Mobile Banking,409,5
CBE Mobile Banking,29,5
CBE Mobile Banking,455,5
CBE Mobile Banking,273,2
CBE Mobile Banking,304,1
CBE Mobile Banking,328,1
CBE Mobile Banking,271,1
CBE Mobile Banking,270,1
CBE Mobile Banking,326,1
CBE Mobile Banking,499,1
CBE Mobile Banking,255,1
CBE Mobile Banking,279,1
CBE Mobile Banking,495,3
CBE Mobile Banking,500,1
CBE Mobile Banking,268,1
CBE Mobile Banking,323,5
CBE Mobile Banking,276,3
CBE Mobile Banking,204,4
CBE Mobile Banking,303,4
CBE Mobile Banking,270,4
CBE Mobile Banking,262,3
CBE Mobile Banking,246,1
CBE Mobile Banking,370,4
CBE Mobile Banking,29,5
CBE Mobile Banking,290,1
CBE Mobile Banking,241,1
CBE Mobile Banking,214,4
CBE Mobile Banking,335,3
CBE Mobile Banking,314,1
CBE Mobile Banking,322,5
CBE Mobile Banking,304,1
CBE Mobile Banking,53,3
CBE Mobile Banking,55,4
CBE Mobile Banking,456,1
CBE Mobile Banking,345,5
CBE Mobile Banking,42,5
CBE Mobile Banking,322,3
CBE Mobile Banking,190,1
CBE Mobile Banking,222,5
CBE Mobile Banking,211,2
CBE Mobile Banking,204,5
CBE Mobile Banking,221,3
CBE Mobile Banking,498,1
CBE Mobile Banking,323,3
CBE Mobile Banking,350,5
CBE Mobile Banking,211,5
CBE Mobile Banking,80,5
CBE Mobile Banking,261,5
CBE Mobile Banking,134,5
CBE Mobile Banking,238,4
CBE Mobile Banking,60,3
CBE Mobile Banking,262,1
CBE Mobile Banking,183,4
CBE Mobile Banking,249,1
CBE Mobile Banking,82,4
CBE Mobile Banking,335,2
CBE Mobile Banking,227,1
CBE Mobile Banking,58,4
CBE Mobile Banking,44,5
CBE Mobile Banking,54,4
CBE Mobile Banking,66,5
CBE Mobile Banking,198,2
CBE Mobile Banking,62,5
CBE Mobile Banking,31,5
CBE Mobile Banking,55,5
CBE Mobile Banking,62,5
CBE Mobile Banking,191,4
CBE Mobile Banking,18,5
CBE Mobile Banking,51,1
CBE Mobile Banking,224,1
CBE Mobile Banking,32,5
CBE Mobile Banking,74,5
CBE Mobile Banking,173,4
CBE Mobile Banking,373,4
CBE Mobile Banking,457,1
CBE Mobile Banking,196,1
CBE Mobile Banking,385,1
CBE Mobile Banking,301,4
CBE Mobile Banking,120,3
CBE Mobile Banking,201,5
CBE Mobile Banking,56,5
CBE Mobile Banking,45,5
CBE Mobile Banking,33,5
CBE Mobile Banking,37,3
CBE Mobile Banking,70,5
CBE Mobile Banking,34,1
CBE Mobile Banking,41,5
CBE Mobile Banking,98,5
CBE Mobile Banking,17,2
CBE Mobile Banking,68,2
